time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-05 00:00:00+00:00,5,5,57,3
2025-09-06 00:00:00+00:00,66,16,6,3
2025-09-07 00:00:00+00:00,12,10,3,2
2025-09-08 00:00:00+00:00,6,5,4,3
2025-09-09 00:00:00+00:00,7,7,9,3
2025-09-10 00:00:00+00:00,41,14,6,2
2025-09-11 00:00:00+00:00,39,13,5,2
2025-09-12 00:00:00+00:00,11,8,8,2
2025-09-13 00:00:00+00:00,8,8,8,4
2025-09-14 00:00:00+00:00,7,6,6,2
2025-09-15 00:00:00+00:00,12,11,20,7
2025-09-16 00:00:00+00:00,71,16,13,4
2025-09-17 00:00:00+00:00,366,94,98,7
2025-09-18 00:00:00+00:00,114,17,35,4
