url_path,views_total,views_unique
/thorek1/MacroModelling.jl,56,29
/thorek1/MacroModelling.jl/actions/workflows/ci.yml,12,2
/thorek1/MacroModelling.jl/tree/main,11,4
/thorek1/MacroModelling.jl/tree/main/models,10,8
/thorek1/MacroModelling.jl/actions/runs/28333446481,9,1
/thorek1/MacroModelling.jl/blob/main/models/FRBUS.jl,6,3
/thorek1/MacroModelling.jl/blob/main/models/Smets_Wouters_2007.jl,6,2
/thorek1/MacroModelling.jl/actions/runs/28333974485,6,1
/thorek1/MacroModelling.jl/issues,5,4
/thorek1/MacroModelling.jl/tree/main/src,5,4
