time_iso8601,stars_cumulative
2022-11-28 00:00:00+00:00,4
2022-12-01 00:00:00+00:00,5
2022-12-13 00:00:00+00:00,6
2022-12-14 00:00:00+00:00,7
2023-01-22 00:00:00+00:00,8
2023-02-27 00:00:00+00:00,9
2023-03-05 00:00:00+00:00,10
2023-03-06 00:00:00+00:00,11
2023-03-08 00:00:00+00:00,12
2023-03-10 00:00:00+00:00,13
2023-03-13 00:00:00+00:00,14
2023-03-18 00:00:00+00:00,15
2023-04-27 00:00:00+00:00,16
2023-04-28 00:00:00+00:00,17
2023-05-01 00:00:00+00:00,18
2023-08-04 00:00:00+00:00,19
2023-09-05 00:00:00+00:00,20
2023-09-14 00:00:00+00:00,21
2023-09-16 00:00:00+00:00,22
2023-09-18 00:00:00+00:00,25
2023-09-19 00:00:00+00:00,26
2023-09-20 00:00:00+00:00,27
2023-09-28 00:00:00+00:00,28
2023-10-04 00:00:00+00:00,29
2023-11-03 00:00:00+00:00,30
2023-11-14 00:00:00+00:00,31
2023-11-26 00:00:00+00:00,32
2023-12-01 00:00:00+00:00,33
2023-12-03 00:00:00+00:00,34
2023-12-04 00:00:00+00:00,35
2023-12-09 00:00:00+00:00,36
2023-12-18 00:00:00+00:00,37
2024-01-18 00:00:00+00:00,38
2024-02-14 00:00:00+00:00,39
2024-02-21 00:00:00+00:00,40
2024-03-04 00:00:00+00:00,41
2024-03-05 00:00:00+00:00,42
2024-03-10 00:00:00+00:00,43
2024-04-22 00:00:00+00:00,44
2024-05-11 00:00:00+00:00,45
2024-06-20 00:00:00+00:00,46
2024-07-03 00:00:00+00:00,47
2024-07-10 00:00:00+00:00,62
2024-07-11 00:00:00+00:00,75
2024-07-12 00:00:00+00:00,80
2024-07-13 00:00:00+00:00,83
2024-07-15 00:00:00+00:00,84
2024-07-17 00:00:00+00:00,87
2024-07-21 00:00:00+00:00,89
2024-07-23 00:00:00+00:00,90
2024-07-24 00:00:00+00:00,91
2024-07-25 00:00:00+00:00,92
2024-08-18 00:00:00+00:00,93
2024-08-25 00:00:00+00:00,94
2024-09-18 00:00:00+00:00,95
2024-10-04 00:00:00+00:00,96
2024-11-11 00:00:00+00:00,97
2025-02-09 00:00:00+00:00,98
2025-02-11 00:00:00+00:00,99
2025-02-12 00:00:00+00:00,100
2025-02-14 00:00:00+00:00,101
2025-02-18 00:00:00+00:00,102
2025-02-22 00:00:00+00:00,103
2025-03-04 00:00:00+00:00,104
2025-03-22 00:00:00+00:00,105
2025-04-11 00:00:00+00:00,106
2025-04-22 00:00:00+00:00,107
2025-04-24 00:00:00+00:00,108
2025-04-27 00:00:00+00:00,109
2025-05-03 00:00:00+00:00,110
2025-05-05 00:00:00+00:00,111
2025-05-06 00:00:00+00:00,112
2025-05-16 00:00:00+00:00,113
2025-05-24 00:00:00+00:00,114
2025-06-04 00:00:00+00:00,115
2025-06-30 00:00:00+00:00,116
2025-07-11 00:00:00+00:00,117
2025-07-16 00:00:00+00:00,118
2025-07-22 00:00:00+00:00,119
